condition,step,erank_A,erank_B,erank_AB,erank_C
no_noise,2412,30.1902,29.8298,24.7456,599.678
no_noise,2422,29.7817,29.4153,22.717,599.679
no_noise,2432,29.9456,29.6873,24.0655,599.685
no_noise,2442,29.9538,29.7216,24.0532,599.687
no_noise,2452,30.0411,29.7193,24.16,599.698
no_noise,2462,30.0843,29.7748,24.4111,599.698
no_noise,2472,30.1019,29.7893,24.4372,599.704
no_noise,2482,30.149,29.8325,24.8021,599.711
no_noise,2492,30.2108,29.8269,24.8399,599.716
no_noise,2502,30.242,29.8247,24.8811,599.717
no_noise,2512,30.2341,29.8357,24.8821,599.725
no_noise,2522,30.2523,29.8235,24.8954,599.729
no_noise,2532,30.2969,29.8481,25.2261,599.725
no_noise,2542,30.3216,29.8941,25.339,599.727
no_noise,2552,30.3084,29.9488,25.4884,599.725
no_noise,2562,30.3076,29.9614,25.4764,599.724
no_noise,2572,30.3124,29.9153,25.4125,599.721
no_noise,2582,30.3302,29.9258,25.4421,599.719
no_noise,2592,30.2897,29.8767,25.2381,599.723
no_noise,2602,30.287,29.8781,25.2779,599.725
no_noise,2612,30.3219,29.8726,25.3827,599.731
no_noise,2622,30.4185,29.9338,25.752,599.731
no_noise,2632,30.4037,29.9728,25.8654,599.731
no_noise,2642,30.4099,29.9469,25.7695,599.734
no_noise,2652,30.4141,30.0039,25.8536,599.733
no_noise,2662,30.4028,29.9715,25.7718,599.744
no_noise,2672,30.4093,30.0414,25.9441,599.756
no_noise,2682,30.4509,30.0899,26.2062,599.76
no_noise,2692,30.4451,30.1407,26.3536,599.755
no_noise,2702,30.4207,30.1156,26.1725,599.768
no_noise,2712,30.4195,30.1235,26.1528,599.769
no_noise,2722,30.3351,30.116,25.9621,599.774
no_noise,2732,30.3724,30.1764,26.1727,599.777
no_noise,2742,30.342,30.1683,26.0252,599.777
no_noise,2752,30.3077,30.2217,26.1244,599.777
no_noise,2762,30.3209,30.2231,26.2749,599.782
no_noise,2772,30.3308,30.1918,26.2084,599.783
no_noise,2782,30.359,30.2041,26.3353,599.786
no_noise,2792,30.3804,30.1866,26.3241,599.785
no_noise,2802,30.3337,30.2113,26.2767,599.791
no_noise,2812,30.3169,30.2122,26.1311,599.791
no_noise,2822,30.3105,30.189,26.1006,599.796
no_noise,2832,30.3215,30.23,26.3071,599.788
no_noise,2842,30.2602,30.2445,26.1464,599.799
no_noise,2852,30.2555,30.2568,26.0887,599.794
no_noise,2862,30.2702,30.2486,26.0645,599.792
no_noise,2872,30.2841,30.2973,26.231,599.798
no_noise,2882,30.2626,30.2368,25.9986,599.798
no_noise,2892,30.2721,30.2879,26.1435,599.804
no_noise,2902,30.2587,30.267,26.0268,599.799
no_noise,2912,30.2811,30.2649,26.1019,599.806
no_noise,2922,30.3053,30.2403,26.141,599.81
no_noise,2932,30.337,30.2315,26.0415,599.813
no_noise,2942,30.3465,30.2319,26.0698,599.818
no_noise,2952,30.329,30.2963,26.2292,599.822
no_noise,2962,30.3476,30.2989,26.316,599.827
no_noise,2972,30.2801,30.2412,25.9939,599.827
no_noise,2982,30.2841,30.1944,25.7988,599.83
no_noise,2992,30.2772,30.2045,25.8155,599.824
no_noise,3002,30.2805,30.2619,25.9414,599.827
no_noise,3012,30.2739,30.245,25.7971,599.826
no_noise,3022,30.2682,30.2833,25.8727,599.828
no_noise,3032,30.2457,30.2801,25.8347,599.818
no_noise,3042,30.2025,30.2778,25.7281,599.821
no_noise,3052,30.1893,30.2882,25.7551,599.824
no_noise,3062,30.215,30.2902,25.7409,599.83
no_noise,3072,30.2099,30.3027,25.7833,599.837
no_noise,3082,30.1847,30.3732,25.9072,599.844
no_noise,3092,30.1866,30.3684,25.9032,599.846
no_noise,3102,30.2171,30.439,26.0813,599.848
no_noise,3112,30.2521,30.3832,26.0801,599.85
no_noise,3122,30.2291,30.3779,25.9235,599.86
no_noise,3132,30.2373,30.4457,26.1178,599.863
no_noise,3142,30.2702,30.4454,26.3057,599.861
no_noise,3152,30.2799,30.4987,26.4132,599.862
no_noise,3162,30.2753,30.4702,26.4187,599.865
no_noise,3172,30.3468,30.467,26.5277,599.868
no_noise,3182,30.3845,30.4775,26.6493,599.87
no_noise,3192,30.3863,30.4724,26.6518,599.872
no_noise,3202,30.3841,30.5018,26.7783,599.881
no_noise,3212,30.3447,30.4593,26.4823,599.88
no_noise,3222,30.3951,30.4413,26.4928,599.886
