condition,step,quantity,bin_idx,bin_low,bin_high,bin_center,count
no_noise,1845,B,29,0.0161415,0.0219829,0.0190622,1284
no_noise,1845,B,30,0.0219829,0.0278243,0.0249036,1214
no_noise,1845,B,31,0.0278243,0.0336657,0.030745,1063
no_noise,1845,B,32,0.0336657,0.039507,0.0365863,874
no_noise,1845,B,33,0.039507,0.0453484,0.0424277,795
no_noise,1845,B,34,0.0453484,0.0511898,0.0482691,677
no_noise,1845,B,35,0.0511898,0.0570311,0.0541105,532
no_noise,1845,B,36,0.0570311,0.0628725,0.0599518,401
no_noise,1845,B,37,0.0628725,0.0687139,0.0657932,291
no_noise,1845,B,38,0.0687139,0.0745553,0.0716346,243
no_noise,1845,B,39,0.0745553,0.0803966,0.077476,182
no_noise,1845,B,40,0.0803966,0.086238,0.0833173,131
no_noise,1845,B,41,0.086238,0.0920794,0.0891587,87
no_noise,1845,B,42,0.0920794,0.0979208,0.0950001,56
no_noise,1845,B,43,0.0979208,0.103762,0.100841,55
no_noise,1845,B,44,0.103762,0.109604,0.106683,20
no_noise,1845,B,45,0.109604,0.115445,0.112524,23
no_noise,1845,B,46,0.115445,0.121286,0.118366,10
no_noise,1845,B,47,0.121286,0.127128,0.124207,7
no_noise,1845,B,48,0.127128,0.132969,0.130048,5
no_noise,1845,B,49,0.132969,0.13881,0.13589,4
no_noise,1845,C_eff,0,-0.31283,-0.302495,-0.307662,1
no_noise,1845,C_eff,1,-0.302495,-0.292159,-0.297327,0
no_noise,1845,C_eff,2,-0.292159,-0.281823,-0.286991,0
no_noise,1845,C_eff,3,-0.281823,-0.271488,-0.276656,0
no_noise,1845,C_eff,4,-0.271488,-0.261152,-0.26632,0
no_noise,1845,C_eff,5,-0.261152,-0.250817,-0.255985,0
no_noise,1845,C_eff,6,-0.250817,-0.240481,-0.245649,1
no_noise,1845,C_eff,7,-0.240481,-0.230146,-0.235314,0
no_noise,1845,C_eff,8,-0.230146,-0.21981,-0.224978,1
no_noise,1845,C_eff,9,-0.21981,-0.209475,-0.214642,0
no_noise,1845,C_eff,10,-0.209475,-0.199139,-0.204307,0
no_noise,1845,C_eff,11,-0.199139,-0.188804,-0.193971,1
no_noise,1845,C_eff,12,-0.188804,-0.178468,-0.183636,1
no_noise,1845,C_eff,13,-0.178468,-0.168132,-0.1733,1
no_noise,1845,C_eff,14,-0.168132,-0.157797,-0.162965,10
no_noise,1845,C_eff,15,-0.157797,-0.147461,-0.152629,24
no_noise,1845,C_eff,16,-0.147461,-0.137126,-0.142294,58
no_noise,1845,C_eff,17,-0.137126,-0.12679,-0.131958,135
no_noise,1845,C_eff,18,-0.12679,-0.116455,-0.121623,381
no_noise,1845,C_eff,19,-0.116455,-0.106119,-0.111287,812
no_noise,1845,C_eff,20,-0.106119,-0.0957837,-0.100951,1634
no_noise,1845,C_eff,21,-0.0957837,-0.0854481,-0.0906159,3352
no_noise,1845,C_eff,22,-0.0854481,-0.0751126,-0.0802804,6211
no_noise,1845,C_eff,23,-0.0751126,-0.0647771,-0.0699448,10619
no_noise,1845,C_eff,24,-0.0647771,-0.0544415,-0.0596093,17537
no_noise,1845,C_eff,25,-0.0544415,-0.044106,-0.0492737,26629
no_noise,1845,C_eff,26,-0.044106,-0.0337704,-0.0389382,37669
no_noise,1845,C_eff,27,-0.0337704,-0.0234349,-0.0286027,48643
no_noise,1845,C_eff,28,-0.0234349,-0.0130993,-0.0182671,58361
no_noise,1845,C_eff,29,-0.0130993,-0.0027638,-0.00793157,65279
no_noise,1845,C_eff,30,-0.0027638,0.00757175,0.00240398,65932
no_noise,1845,C_eff,31,0.00757175,0.0179073,0.0127395,62780
no_noise,1845,C_eff,32,0.0179073,0.0282428,0.0230751,54310
no_noise,1845,C_eff,33,0.0282428,0.0385784,0.0334106,43587
no_noise,1845,C_eff,34,0.0385784,0.0489139,0.0437461,31813
no_noise,1845,C_eff,35,0.0489139,0.0592495,0.0540817,22347
no_noise,1845,C_eff,36,0.0592495,0.069585,0.0644172,14108
no_noise,1845,C_eff,37,0.069585,0.0799205,0.0747528,8274
no_noise,1845,C_eff,38,0.0799205,0.0902561,0.0850883,4819
no_noise,1845,C_eff,39,0.0902561,0.100592,0.0954239,2379
no_noise,1845,C_eff,40,0.100592,0.110927,0.105759,1212
no_noise,1845,C_eff,41,0.110927,0.121263,0.116095,522
no_noise,1845,C_eff,42,0.121263,0.131598,0.12643,243
no_noise,1845,C_eff,43,0.131598,0.141934,0.136766,76
no_noise,1845,C_eff,44,0.141934,0.152269,0.147102,33
no_noise,1845,C_eff,45,0.152269,0.162605,0.157437,16
no_noise,1845,C_eff,46,0.162605,0.17294,0.167773,7
no_noise,1845,C_eff,47,0.17294,0.183276,0.178108,0
no_noise,1845,C_eff,48,0.183276,0.193612,0.188444,4
no_noise,1845,C_eff,49,0.193612,0.203947,0.198779,2
no_noise,3689,A,0,-0.150902,-0.144576,-0.147739,1
no_noise,3689,A,1,-0.144576,-0.13825,-0.141413,3
no_noise,3689,A,2,-0.13825,-0.131924,-0.135087,4
no_noise,3689,A,3,-0.131924,-0.125598,-0.128761,6
no_noise,3689,A,4,-0.125598,-0.119272,-0.122435,9
no_noise,3689,A,5,-0.119272,-0.112946,-0.116109,23
no_noise,3689,A,6,-0.112946,-0.10662,-0.109783,32
no_noise,3689,A,7,-0.10662,-0.100293,-0.103457,44
