trial,learning_rate,transfer_lr,transfer_every,fast_lr,auto_granularity,in_chop_prob,initial_accuracy,final_accuracy,improvement,initial_loss,final_loss,status
13,0.00044412796733158956,1.0826414771403958,39,0.39262828053913335,625.627899761128,0.025727443663154114,0.4908256880733945,0.625,0.1341743119266055,2323540.5229357798,0.6525049586908533,completed
14,0.00033515082309495633,1.267971923112849,6,0.3701835379988017,559.636627801466,0.020644118967791603,0.4908256880733945,0.5619266055045872,0.07110091743119268,2322721.3211009176,0.6891799273840878,completed
15,0.00039226321319317796,0.8555186582397103,43,0.38330408599254506,597.9356987759406,0.06855046081289344,0.4908256880733945,,,2320753.4380733944,,pruned
16,0.0002845592723392244,1.400770348188235,6,0.10607582451991626,2095.601431214805,0.036618690585072604,0.4908256880733945,,,2316756.8211009176,,pruned
17,0.012411627838706751,0.8106459024671269,39,0.8619728764376571,937.0710030509358,0.013878997913092581,0.4908256880733945,,,2323714.857798165,,pruned
18,0.0009904827988002774,1.4786930669803353,3,0.600393204848777,454.3542558790357,0.027749082222596415,0.4908256880733945,,,2323212.247706422,,pruned
19,0.00010332855569626081,1.096232361154382,93,0.3984495579800595,1681.7284620162136,0.06298917797852033,0.4908256880733945,0.5607798165137615,0.06995412844036702,2308756.743119266,0.8661516407214174,completed
20,0.0002173045012033576,0.1517161501432739,47,0.16273992228003398,238.6490945413122,0.04304520829036107,0.4908256880733945,,,2321055.9266055045,,pruned
21,0.0005728971105265551,0.9235854102324924,24,0.4752939465031326,208.78418561324733,0.023574592003857597,0.4908256880733945,0.5986238532110092,0.1077981651376147,2326652.9472477064,0.6707076873254338,completed
22,0.0007089861362716455,1.0223913244686003,30,0.527253742005894,424.67767806653893,0.011082423302816446,0.4908256880733945,0.6009174311926605,0.110091743119266,2324173.380733945,0.6496272294893177,completed
23,0.0016370558193213806,1.2031187284793496,14,0.6395826566038173,441.25751307183435,0.00895510992948566,0.4908256880733945,,,2312217.633027523,,pruned
24,0.00045164594450094244,0.6827358055394228,8,0.34425538310692094,844.9693215610672,0.01114306447727025,0.4908256880733945,,,2309441.2752293576,,pruned
25,0.00021357290100919833,1.2938805734796464,34,0.5806585381583842,643.3671817072299,0.017963331588427132,0.4908256880733945,0.5951834862385321,0.10435779816513763,2316165.0458715595,0.6704546038163911,completed
26,0.0009085817036149884,1.0288024037000132,56,0.4433806976489988,276.98323250391354,0.002204313964619283,0.4908256880733945,,,2321292.387614679,,pruned
27,0.002940788059365836,0.7314703102790077,9,0.7028047573342656,441.4110269059618,0.027277416070768685,0.4908256880733945,,,2325420.169724771,,pruned
28,0.000768251742636843,1.4238277812327778,18,0.31067996567763106,156.73367456228115,0.042502540261521324,0.4908256880733945,0.5676605504587156,0.07683486238532106,2324986.871559633,0.6887955386704261,completed
29,0.0014227536278242894,1.9951926741138495,27,0.6426405042877926,396.8018678975164,0.015904146591175373,0.4908256880733945,,,2318971.621559633,,pruned
30,0.00019934491335113068,1.0364073766505364,73,0.5119251141031422,716.4276791272255,0.03181729038976727,0.4908256880733945,0.5871559633027523,0.09633027522935783,2308589.788990826,0.6895736800421268,completed
