layer_name,layer_idx,sublayer,variant,dac_bits,EZR_mean,QZR_all_mean,QZR_nonzero_mean,ODR_mean,cosine_sim,ratio_q50,ratio_q90,ratio_q99,p_clip,absmax_q50,absmax_q90,absmax_q99,absmax_q999,EZR_pad_mean,QZR_all_pad_mean
bert.encoder.layer.0.attention.output.dense,0,O,sweep,6,0.10018135855595271,0.1458057314157486,0.05070389931400617,6.656728108723958,0.9998233119646708,0.15483450392882028,0.4487239420413971,0.7577740947405497,0.0,0.000164832240746667,0.0005691794018882016,0.002962131674091021,0.00850214653958877,0.10014230261246364,0.1483685572942098
bert.encoder.layer.0.attention.self.query,0,Q,sweep,6,0.0,0.1421848883231481,0.1421848883231481,15.282057126363119,0.9994577765464783,0.06868651509284973,0.24104788402716318,0.5849389235178629,0.0,4.458288579674748e-05,0.00015659448399674147,0.0009068468546805283,0.002644204224149386,5.651403398587718e-07,0.17290920515855154
bert.encoder.layer.0.attention.self.value,0,V,sweep,6,0.0,0.16528254747390747,0.16528254747390747,18.66930325826009,0.9995344082514445,0.06828700751066208,0.27329419056574505,0.6371132532755533,0.0,0.0001397965388605371,0.00046013355798398453,0.001931903224127988,0.004029098587731521,0.5998263855775198,0.6664502223332723
bert.encoder.layer.1.intermediate.dense,1,FFN1,sweep,6,0.07523475587368011,0.7310073773066202,0.7092143694559733,252.74998982747397,0.9971748391787211,0.0051976474933326244,0.0463948038717111,0.28099851806958515,0.0,0.00016094452197042605,0.0005425945661651591,0.0023751764092594385,0.007264092254141967,0.1013601819674174,0.7837870717048645
bert.encoder.layer.1.output.dense,1,FFN2,sweep,6,0.09991351515054703,0.15954531729221344,0.0662512257695198,8.773971875508627,0.99966828028361,0.13013032575448355,0.42042354742685956,0.7330522139867147,0.0,0.00013541412287546942,0.0005484789532298843,0.0027352075558155775,0.006871479408194621,0.100218599041303,0.1709176500638326
bert.encoder.layer.1.attention.self.key,1,K,sweep,6,0.0,0.23714911937713623,0.23714911937713623,25.807392120361328,0.9994369347890218,0.049046156307061516,0.23788747688134512,0.6084727048873901,0.0,7.897337006094556e-05,0.0002577726894135897,0.0012301517805705469,0.00260258826892823,0.5998263855775198,0.695630689462026
bert.encoder.layer.1.attention.output.dense,1,O,sweep,6,0.10016796986262004,0.158743883172671,0.06509566182891528,8.679611206054688,0.9996642470359802,0.13152543207009634,0.42178436120351154,0.7347772916158041,0.0,0.00018753203039523214,0.000766117610813429,0.004195839011420806,0.009742064711948236,0.1001858189702034,0.1662699431180954
bert.encoder.layer.1.attention.self.query,1,Q,sweep,6,0.0,0.223441610733668,0.223441610733668,23.140920639038086,0.9993413686752319,0.04963334649801254,0.21163876354694366,0.5614255865414938,0.0,6.0354204227526985e-05,0.00023380774170315513,0.0015415037826945384,0.0048022510794301825,0.0,0.23169397314389548
bert.encoder.layer.1.attention.self.value,1,V,sweep,6,0.0,0.21624368925889334,0.21624368925889334,24.55982844034831,0.9994593262672424,0.05522251253326734,0.24821682771046957,0.6186346213022867,0.0,0.00011285646420825894,0.00039621089429905015,0.002432575332932174,0.005959453992545605,0.5998263855775198,0.6875825126965841
bert.encoder.layer.2.intermediate.dense,2,FFN1,sweep,6,0.09309857835372289,0.7393714189529419,0.7127179304758707,318.9039815266927,0.9970739881197611,0.0048336574497322244,0.043393695106108986,0.26497555275758106,0.0,0.00016383461479563266,0.0006299955809178451,0.0026656418728331723,0.0067031279516716795,0.1146642913420995,0.771523098150889
