layer_name,layer_idx,sublayer,ODR_mean,QZR_mean,p_clip_in,cosine_sim,absmax_q50,absmax_q90,absmax_q99,absmax_q999
bert.encoder.layer.6.attention.output.dense,6,O,7.174754750728607,0.12416055325418711,0.0,0.9998122382164002,6.989577072999964e-06,7.320955057366519e-05,0.0005029186107276474,0.0026860581332584844
bert.encoder.layer.6.attention.self.query,6,Q,23.565401458740233,0.1426019198447466,0.0,0.9994174075126648,2.24587664149567e-06,2.400084034889005e-05,0.00014821717428276316,0.0007482629032165278
bert.encoder.layer.6.attention.self.value,6,V,10.953313028812408,0.6165713532269002,0.0,0.44272679165005685,6.25253122734648e-07,3.970456884417217e-05,0.00047662614539149215,0.0012504337317659519
bert.encoder.layer.7.attention.self.key,7,K,25.835419292449952,0.6776733732223511,0.0,0.44253652781248093,4.158352686545186e-07,3.7961745938446257e-05,0.00031020641727081967,0.0008207201995537616
bert.encoder.layer.7.attention.output.dense,7,O,6.431472325325013,0.12161023736000061,0.0,0.9998509103059768,6.296394487890211e-06,6.227769788893056e-05,0.0005005755080492235,0.0026044154993724077
bert.encoder.layer.7.attention.self.query,7,Q,24.460771322250366,0.16591205559670924,0.0,0.9994516077637673,2.0480446949022733e-06,1.7064073026631378e-05,9.534622004139237e-05,0.0006896665805834345
bert.encoder.layer.7.attention.self.value,7,V,15.48310990333557,0.6378063100576401,0.0,0.4427061019837856,5.405138358582918e-07,4.08929386503587e-05,0.000582275055203354,0.0012884288770146667
bert.encoder.layer.8.attention.self.key,8,K,20.353817625045778,0.6581437246501446,0.0,0.44258681789040566,6.360952534123498e-07,4.932559208100429e-05,0.00033035611981176773,0.0007818644521466922
bert.encoder.layer.8.attention.output.dense,8,O,6.191592829227448,0.12075981639325618,0.0,0.9998623794317245,6.370569130922377e-06,5.448433739729808e-05,0.00046913450714782814,0.00297901141224429
bert.encoder.layer.8.attention.self.query,8,Q,24.123439445495606,0.1479626988619566,0.0,0.9993337661027908,2.4647451198234195e-06,2.333634769456694e-05,0.0001604104382931837,0.0011823230292066001
bert.encoder.layer.8.attention.self.value,8,V,11.191558783054353,0.61481451228261,0.0,0.4427212865650654,6.363398904341011e-07,4.355347231467022e-05,0.000409657895215787,0.0014856984617654233
bert.encoder.layer.9.attention.self.key,9,K,21.40725121498108,0.6632837317883968,0.0,0.44263722956180573,4.494711106417526e-07,4.5429059591697294e-05,0.00030671120672195687,0.0007585825816204306
bert.encoder.layer.9.attention.output.dense,9,O,6.025772867202758,0.12020855262875557,0.0,0.9998701521754265,6.65057306378003e-06,3.856953833746957e-05,0.000238380088339909,0.0032448950270190834
bert.encoder.layer.9.attention.self.query,9,Q,16.471935272216797,0.09778766080737114,0.0,0.9995377749204636,1.7677671701221698e-06,1.2594379059009953e-05,8.252248591816169e-05,0.000939706185599789
bert.encoder.layer.9.attention.self.value,9,V,13.0672199010849,0.6247409902513027,0.0,0.4427184085547924,5.659996111262445e-07,4.916751335258596e-05,0.0004793947433063295,0.0013792367477435618
bert.encoder.layer.10.attention.self.key,10,K,21.6091711807251,0.6642865516245365,0.0,0.4426586551964283,3.2799304449326883e-07,3.460343569713586e-05,0.00021374437877966557,0.0006365116826782469
bert.encoder.layer.10.attention.output.dense,10,O,6.678908483982086,0.12237488321959972,0.0,0.9998414739966393,8.52360582939582e-06,3.1672969807914345e-05,0.00017341154682071647,0.003705952923046425
bert.encoder.layer.10.attention.self.query,10,Q,21.017002172470093,0.13607744771987199,0.0,0.9994381830096245,1.748797656091483e-06,7.710091852004553e-06,4.691079890108085e-05,0.0008904874170548283
bert.encoder.layer.10.attention.self.value,10,V,14.503022241592408,0.6323210215568542,0.0,0.44270649313926697,4.7623647333239203e-07,4.3743131482187894e-05,0.00046847219273331574,0.0011615699736285024
bert.encoder.layer.11.attention.self.key,11,K,22.0198153591156,0.6616730412840843,0.0,0.4426756739616394,4.28140706958402e-07,3.4301617442906715e-05,0.00019537587300874293,0.0007375217201479245
bert.encoder.layer.11.attention.output.dense,11,O,6.501463973522187,0.12184226002544164,0.0,0.9998525494337082,8.184828984667548e-06,1.5008944383225752e-05,0.00014308218895166646,0.0036129731091205032
bert.encoder.layer.11.attention.self.query,11,Q,22.29922423362732,0.14824895799160004,0.0,0.9995034822821617,1.6430316338755801e-06,3.520371485592477e-06,1.2193997308713733e-05,0.0009097027630195953
bert.encoder.layer.11.attention.self.value,11,V,14.939982228279113,0.6249439005553722,0.0,0.4427260075509548,6.048915781775577e-07,3.63120142264961e-05,0.00036704865837236864,0.0015502107559586876
