layer_name,layer_idx,sublayer,variant,dac_bits,EZR_mean,QZR_all_mean,QZR_nonzero_mean,ODR_mean,cosine_sim,ratio_q50,ratio_q90,ratio_q99,p_clip,absmax_q50,absmax_q90,absmax_q99,absmax_q999,EZR_pad_mean,QZR_all_pad_mean
bert.encoder.layer.4.output.dense,4,FFN2,baseline,7,0.09998352479189634,0.12182782255113125,0.02427100025117397,6.502454733848571,0.999962255358696,0.15595193102955818,0.44488760247826575,0.7540394410490989,0.0,2.9750998637609883e-05,0.00012855357526859735,0.0008368710671493318,0.002362940409220755,0.0999834830313921,0.12321278747171163
bert.encoder.layer.4.attention.self.key,4,K,baseline,7,5.545499561776524e-09,0.1938662301748991,0.19386622570455075,38.37253692626953,0.9998176747560501,0.03378152161836624,0.19525979846715927,0.5591822025179863,0.0,1.9822398817268548e-05,9.197013954690192e-05,0.0003494748064258601,0.0007392114771937485,0.5570914739370346,0.643118891865015
bert.encoder.layer.4.attention.output.dense,4,O,baseline,7,0.09994549728929997,0.13028878323733806,0.03371275221928954,9.040894026756286,0.9999172458052635,0.1204174118489027,0.39562891602516176,0.7136789447069168,0.0,4.061307368829148e-05,0.00020546007785014807,0.0013322933382005431,0.004555410207249224,0.0999625489488244,0.13169009678065777
bert.encoder.layer.4.attention.self.query,4,Q,baseline,7,5.142509280631202e-09,0.12213047750294209,0.12213047295808792,22.17309147834778,0.9998581027984619,0.051581589113920925,0.2317578686773777,0.5926705157756805,0.0,1.062252345491288e-05,4.490938446906512e-05,0.0002672553083539242,0.0007987539126770571,2.119276274470394e-09,0.11085419606417418
bert.encoder.layer.4.attention.self.value,4,V,baseline,7,1.605434249540849e-08,0.13200684677809477,0.13200683284550904,25.21498028755188,0.9998869580030442,0.05153206519782543,0.2671231862902641,0.6609222495555878,0.0,2.005945265864284e-05,8.881873120117234e-05,0.0007468097819946706,0.0013394115646951832,0.5570914781093598,0.6156558966636658
bert.encoder.layer.5.intermediate.dense,5,FFN1,baseline,7,0.0019732748140813784,0.4414739815890789,0.44036975532770156,112.99522403717042,0.999457667171955,0.010345012894831598,0.06499214390292764,0.3478586760163307,0.0,2.8719524580083088e-05,0.0001285976157305413,0.0008141002888442017,0.001983855143771507,0.0017552026238990947,0.4234849001467228
bert.encoder.layer.5.output.dense,5,FFN2,baseline,7,0.09998383648693561,0.12124894231557846,0.023627477129921318,6.332686657905579,0.9999643477797509,0.1596618463099003,0.45136241376399994,0.7596933683753013,0.0,2.836074160768476e-05,0.00012719192814984127,0.0008700647244404536,0.00239979519858025,0.09998301886022092,0.1220766944810748
bert.encoder.layer.5.attention.self.key,5,K,baseline,7,5.126312316861003e-09,0.19939624711871148,0.19939624302089215,37.17755708694458,0.9998317441344261,0.03409757329151034,0.19981268487870693,0.5699775859713554,0.0,1.7958507501134592e-05,8.999347272037995e-05,0.0003478303330484778,0.0007262094983889255,0.5570914739370346,0.6455748948454857
bert.encoder.layer.5.attention.output.dense,5,O,baseline,7,0.10001402847468853,0.12921286590397357,0.032443654099479316,8.702019572257996,0.9999250543117523,0.12256954446434974,0.3958940225839615,0.7138175976276397,0.0,3.9543127804790857e-05,0.00019601416519435589,0.0013275157182943075,0.004204982161754742,0.09999115288257598,0.12994818322360516
bert.encoder.layer.5.attention.self.query,5,Q,baseline,7,0.0,0.1687628299742937,0.1687628299742937,26.835050764083864,0.9998501488566398,0.04477063186466694,0.2282911663502455,0.5926062336564064,0.0,1.022642235056992e-05,4.4535286506288684e-05,0.00027933538687648253,0.0008528971130726859,4.238552548940788e-09,0.14807598948478698
bert.encoder.layer.5.attention.self.value,5,V,baseline,7,9.848519084698638e-09,0.1412406413257122,0.14124063283205032,24.518305253982543,0.9998976430296898,0.05192300548776984,0.2789434942603111,0.6741056403517723,0.0,1.884748179691087e-05,8.965359418652952e-05,0.000854391252505593,0.0014033849694533274,0.5570914760231972,0.6197259677946567
bert.encoder.layer.6.intermediate.dense,6,FFN1,baseline,7,0.0010439816975849681,0.44231405809521673,0.44173129096627234,104.01670783996582,0.9994335505366325,0.010227210293523968,0.06285297110676766,0.33866791650652883,0.0,3.052923152608855e-05,0.00014040381080121733,0.0009513367421459406,0.002130950419232249,0.0008710723507101648,0.3991356299817562
