layer_name,layer_idx,sublayer,q,safety,theta,CCR,QZR_nonzero,cosine_sim
bert.encoder.layer.1.attention.self.key,1,K,0.999,1.0,0.0008555288077332079,0.0010032228073334484,0.14657106147470472,0.9994072074025349
bert.encoder.layer.1.attention.self.key,1,K,0.999,1.1,0.0009410816885065288,0.0008194823664298865,0.1465858707629161,0.9994113415624553
bert.encoder.layer.1.attention.self.key,1,K,0.999,1.2,0.0010266345692798494,0.0006945388666154644,0.14659719185367803,0.9994142125068444
bert.encoder.layer.1.attention.output.dense,1,O,0.9,1.0,0.00013568473514169455,0.10000257236617265,0.02158882319290884,0.9970679619142814
bert.encoder.layer.1.attention.output.dense,1,O,0.9,1.1,0.000149253208655864,0.08791612616353635,0.021711076790506434,0.9973963979523965
bert.encoder.layer.1.attention.output.dense,1,O,0.9,1.2,0.00016282168217003344,0.07868500641254139,0.021810284234617092,0.997664314482789
bert.encoder.layer.1.attention.output.dense,1,O,0.95,1.0,0.00022896572772879153,0.05000312358749536,0.02210591827135412,0.9984774807715628
bert.encoder.layer.1.attention.output.dense,1,O,0.95,1.1,0.0002518623005016707,0.04428512106657651,0.022167427843636435,0.9986520341904213
bert.encoder.layer.1.attention.output.dense,1,O,0.95,1.2,0.00027475887327454984,0.03939395052972369,0.022216986377155516,0.9987955814098771
bert.encoder.layer.1.attention.output.dense,1,O,0.99,1.0,0.0008558122790418565,0.010002829602789915,0.022549340086818553,0.9997677980178081
bert.encoder.layer.1.attention.output.dense,1,O,0.99,1.1,0.0009413935069460422,0.00909515182472632,0.022564145977813047,0.999794210706188
bert.encoder.layer.1.attention.output.dense,1,O,0.99,1.2,0.0010269747348502277,0.008283019075932575,0.02257692635912391,0.9998132737769317
bert.encoder.layer.1.attention.output.dense,1,O,0.995,1.0,0.0014109868789091706,0.005001414801394957,0.022615852295878543,0.9998530076472771
bert.encoder.layer.1.attention.output.dense,1,O,0.995,1.1,0.001552085566800088,0.004053314126332578,0.02262469330008818,0.9998577159960753
bert.encoder.layer.1.attention.output.dense,1,O,0.995,1.2,0.0016931842546910048,0.003237506568720762,0.02263160448798507,0.999861505642669
bert.encoder.layer.1.attention.output.dense,1,O,0.999,1.0,0.0023188521154224873,0.0010032228073334484,0.022645107885875915,0.9998660991536915
bert.encoder.layer.1.attention.output.dense,1,O,0.999,1.1,0.002550737326964736,0.0006320671167082532,0.022647096181470868,0.9998664436670183
bert.encoder.layer.1.attention.output.dense,1,O,0.999,1.2,0.0027826225385069845,0.00038218011707940897,0.022648244501921426,0.9998664436670183
bert.encoder.layer.1.attention.self.query,1,Q,0.9,1.0,6.094082345953211e-05,0.10000257236617265,0.11456833319709904,0.99553338471941
bert.encoder.layer.1.attention.self.query,1,Q,0.9,1.1,6.703490580548533e-05,0.08806679332507726,0.11538374361130536,0.9960148995123529
bert.encoder.layer.1.attention.self.query,1,Q,0.9,1.2,7.312898815143853e-05,0.07828077744255355,0.116051673611537,0.9964051182737218
bert.encoder.layer.1.attention.self.query,1,Q,0.95,1.0,0.00010179626406170428,0.05000312358749536,0.11800241334457448,0.9975365000385855
bert.encoder.layer.1.attention.self.query,1,Q,0.95,1.1,0.00011197589046787471,0.04406830734631031,0.11842604990065982,0.9977801857983338
bert.encoder.layer.1.attention.self.query,1,Q,0.95,1.2,0.00012215551687404512,0.039346178015088766,0.1187756304458735,0.9979769029078762
bert.encoder.layer.1.attention.self.query,1,Q,0.99,1.0,0.00032989264582283795,0.010002829602789915,0.12094786832449862,0.9990989828129192
bert.encoder.layer.1.attention.self.query,1,Q,0.99,1.1,0.0003628819104051218,0.008665199193011983,0.12104745181601899,0.9991413579521026
bert.encoder.layer.1.attention.self.query,1,Q,0.99,1.2,0.00039587117498740554,0.007474561135956902,0.12112806793485117,0.9991744312314652
bert.encoder.layer.1.attention.self.query,1,Q,0.995,1.0,0.0005007719737477601,0.005001414801394957,0.12130159259946709,0.9992425300323751
