layer_name,layer_idx,sublayer,variant,dac_bits,EZR_mean,QZR_all_mean,QZR_nonzero_mean,ODR_mean,cosine_sim,ratio_q50,ratio_q90,ratio_q99,EZR_pad_mean,QZR_all_pad_mean,CCR
bert.encoder.layer.2.attention.self.query,2,Q,sto_round,7,6.478026648437662e-09,0.2398315469175577,0.23983154200017454,27.061265230178833,0.9993301311135292,0.04043934414163232,0.19650608777999878,0.5317998400330544,4.238552548940788e-09,0.19947553634643556,
bert.encoder.layer.2.attention.self.value,2,V,sto_round,7,0.0,0.14319216698408127,0.14319216698408127,30.16647081375122,0.9995170673727989,0.04688360469415784,0.2515456890314817,0.6489349320530892,0.557091471850872,0.6206683182716369,
bert.encoder.layer.3.attention.self.key,3,K,sto_round,7,0.0,0.147499310746789,0.147499310746789,28.99690131187439,0.9994332757592201,0.043761973064392806,0.22537487804889678,0.5996945610642433,0.557091471850872,0.6224874751269818,
bert.encoder.layer.3.attention.output.dense,3,O,sto_round,7,0.10001443587243557,0.13517616696655751,0.03906925031915307,10.571451935768128,0.9995554575324058,0.10492417722940445,0.3713714124262333,0.6939684465527535,0.10000430718064308,0.1379397635906935,
bert.encoder.layer.3.attention.self.query,3,Q,sto_round,7,4.401904334372375e-09,0.09884017769247294,0.09884017374366522,17.855464601516722,0.9995122084021568,0.06117420637980103,0.25366617009043696,0.6184187144041061,2.119276274470394e-09,0.12376237321645021,
bert.encoder.layer.3.attention.self.value,3,V,sto_round,7,0.0,0.12491022504866123,0.12491022504866123,25.613248720169068,0.9995267924666404,0.05282332383096218,0.2616792856156826,0.6511265775561332,0.557091471850872,0.6124947705864906,
bert.encoder.layer.4.attention.self.key,4,K,sto_round,7,5.122279276292829e-09,0.1923264876753092,0.19232648350298404,38.48703771591187,0.999297037422657,0.03385120762512088,0.19581899881362916,0.5602967089414597,0.5570914742350578,0.6424003042280674,
bert.encoder.layer.4.attention.output.dense,4,O,sto_round,7,0.09994549728929997,0.13007998898625373,0.033480757251381874,9.044355154037476,0.9996759691834449,0.11999156635254621,0.3939468349516392,0.7122428941726685,0.0999625489488244,0.13124997660517693,
bert.encoder.layer.4.attention.self.query,4,Q,sto_round,7,0.0,0.12179136402904987,0.12179136402904987,22.223273305892945,0.9994434118270874,0.0514195323549211,0.23161497533321382,0.5924397325515747,0.0,0.10944701224565506,
bert.encoder.layer.4.attention.self.value,4,V,sto_round,7,9.031712693285954e-09,0.13123812682926655,0.13123811896890403,25.36091649055481,0.9995581150054932,0.051333501413464544,0.2661347621679306,0.6598756986856461,0.5570914760231972,0.615320242792368,
bert.encoder.layer.5.attention.self.key,5,K,sto_round,7,0.0,0.1989466582983732,0.1989466582983732,37.43672918319702,0.9993558329343796,0.03405541427433491,0.20069401271641255,0.5719709014892578,0.557091471850872,0.6453355006873608,
bert.encoder.layer.5.attention.output.dense,5,O,sto_round,7,0.10001402847468853,0.12906844154000283,0.03228315269574523,8.72495982170105,0.9997045034170151,0.12209276169538498,0.39424866780638695,0.7123373514413833,0.09999115288257598,0.1297296939790249,
bert.encoder.layer.5.attention.self.query,5,Q,sto_round,7,0.0,0.17458395257592202,0.17458395257592202,28.17529871940613,0.999403789639473,0.04309343559667468,0.22430142447352408,0.5882529529929161,2.119276274470394e-09,0.1539930360764265,
bert.encoder.layer.5.attention.self.value,5,V,sto_round,7,0.0,0.1419366266578436,0.1419366266578436,24.911618671417237,0.9995983853936196,0.05138824200257659,0.27757767230272296,0.6732477307319641,0.557091471850872,0.6200461764633656,
bert.encoder.layer.6.attention.self.key,6,K,sto_round,7,0.0,0.20955872938036918,0.20955872938036918,42.98785469055176,0.9992503052949906,0.031138456342741847,0.18513588152825833,0.5383549094200134,0.557091471850872,0.6500087778270245,
bert.encoder.layer.6.attention.output.dense,6,O,sto_round,7,0.0999997753277421,0.12460563130676747,0.02733983532525599,7.388209040164948,0.9997979319095611,0.13988329276442527,0.4199702595174313,0.7332714530825615,0.09998952530324459,0.12394015073776245,
bert.encoder.layer.6.attention.self.query,6,Q,sto_round,7,1.6036399586027984e-08,0.17548918299376964,0.17548916973173617,31.381984395980837,0.9993272393941879,0.040367253869771955,0.20773164436221123,0.5715606859326363,6.357828823411182e-09,0.1408768904581666,
bert.encoder.layer.6.attention.self.value,6,V,sto_round,7,0.0,0.13349650360643864,0.13349650360643864,25.08250756263733,0.9995884472131729,0.05136106504127383,0.2735388112068176,0.6717987641692161,0.557091471850872,0.6162835511565209,
bert.encoder.layer.7.attention.self.key,7,K,sto_round,7,5.150645847606938e-09,0.26761554621160033,0.2676155426353216,59.153677463531494,0.9991710567474366,0.02377156420610845,0.16657303288578987,0.5181115132570266,0.5570914739370346,0.675810926258564,
bert.encoder.layer.7.attention.output.dense,7,O,sto_round,7,0.1000266433879733,0.12211019586771726,0.02453800918534398,6.641265161037445,0.9998408740758896,0.15324674777686595,0.44042696833610534,0.7496930801868439,0.09999932464212179,0.12157344907522201,
bert.encoder.layer.7.attention.self.query,7,Q,sto_round,7,4.305830998418969e-09,0.2033666854351759,0.20336668208241462,31.69573561668396,0.9994353622198104,0.037449798583984374,0.21992644622921945,0.5958333310484886,6.357828823411182e-09,0.16334997296333312,
bert.encoder.layer.7.attention.self.value,7,V,sto_round,7,0.0,0.17785209000110627,0.17785209000110627,35.07339964866638,0.9995462891459465,0.03882498525083065,0.2509456105530262,0.6655159708857536,0.557091471850872,0.6359677121043206,
bert.encoder.layer.8.attention.self.key,8,K,sto_round,7,5.284429107632605e-09,0.22858834236860276,0.22858833834528924,47.295253124237064,0.999282066822052,0.02849298296496272,0.1850627216696739,0.553359956741333,0.5570914742350578,0.6584626790881157,
bert.encoder.layer.8.attention.output.dense,8,O,sto_round,7,0.09997232139110565,0.12091057702898979,0.023264016592875122,6.298442099094391,0.9998590585589409,0.1604882462322712,0.4517364893853664,0.7587703654170036,0.09997646637260914,0.12067769449204206,
bert.encoder.layer.8.attention.self.query,8,Q,sto_round,7,0.0,0.18516706742346287,0.18516706742346287,32.82541251182556,0.9992168375849724,0.03928793845698238,0.19951187990605831,0.5445127648115158,0.0,0.15265264458954333,
bert.encoder.layer.8.attention.self.value,8,V,sto_round,7,0.0,0.13166129857301712,0.13166129857301712,26.036687545776367,0.9995759481191635,0.051322930045425895,0.2704070197045803,0.6688765606284142,0.557091471850872,0.6154721899330616,
bert.encoder.layer.9.attention.self.key,9,K,sto_round,7,3.1090814900380793e-09,0.24055215135216712,0.24055214911699296,50.13866926193237,0.9993862095475197,0.02875018977560103,0.20222665414214133,0.5947648623585701,0.5570914739370346,0.6638356873393059,
bert.encoder.layer.9.attention.output.dense,9,O,sto_round,7,0.10000381730496884,0.12006669569760561,0.022292176149785518,6.034024693965912,0.9998710617423058,0.16700575552880764,0.46352906540036204,0.7688755616545677,0.10000120654702187,0.12017772350460292,
bert.encoder.layer.9.attention.self.query,9,Q,sto_round,7,4.773032742377836e-09,0.12349133957177401,0.12349133536219598,21.284914274215698,0.9994982677698135,0.05593067245557904,0.2500029759854078,0.60959662348032,6.357828823411182e-09,0.10220328748226165,
bert.encoder.layer.9.attention.self.value,9,V,sto_round,7,0.0,0.15380060389637948,0.15380060389637948,30.54166449546814,0.9995679399371147,0.047538210656493905,0.26470396161079407,0.6668166753649711,0.557091471850872,0.6253749786317349,
bert.encoder.layer.10.attention.self.key,10,K,sto_round,7,5.0003200158244e-09,0.2497129290550947,0.2497129253298044,53.07208124160766,0.9994240844249725,0.027624216973781587,0.20608235023915766,0.6092142760753632,0.5570914739370346,0.6677642057836056,
