layer_idx,sublayer,bits,QZR_nonzero,WQZR_body,sign_agree_nonzero,raw_cosine_sim,raw_rel_l2_error,trimmed_rel_l2_p90,trimmed_cosine_p90,trimmed_rel_l2_p99,trimmed_cosine_p99,trimmed_rel_l2_p999,trimmed_cosine_p999
8,O,7,0.023122518129024626,0.0004309400974307209,0.9768774818709753,0.999860942363739,0.016445443034172058,0.021495649591088295,0.9997615814208984,0.0172676220536232,0.9998462200164795,0.016618093475699425,0.9998576641082764
8,O,8,0.011451434342649601,0.00010565720731392503,0.9885485656573504,0.9999657869338989,0.008156122639775276,0.010660373605787754,0.999941349029541,0.008563433773815632,0.9999622106552124,0.008241730742156506,0.9999649524688721
8,O,9,0.005710532402707126,2.615395533211995e-05,0.9942894675972929,0.9999915361404419,0.004062767140567303,0.005311470478773117,0.9999854564666748,0.004265868104994297,0.9999906420707703,0.004105431493371725,0.9999912977218628
8,O,10,0.0028716869395098853,6.56840256851865e-06,0.9971283130604901,0.9999978542327881,0.0020280717872083187,0.002650666516274214,0.9999964237213135,0.0021293358877301216,0.9999976754188538,0.002049359492957592,0.9999978542327881
8,O,11,0.0014482031651414215,1.6778193412392284e-06,0.9985517968348586,0.9999995231628418,0.0010162058752030134,0.0013250169577077031,0.9999990463256836,0.0010674321092665195,0.9999994039535522,0.001026869285851717,0.9999995231628418
8,O,12,0.0007165091982618737,4.0746559193394205e-07,0.9992834908017382,0.9999999403953552,0.0005170503281988204,0.0006536465371027589,0.9999998807907104,0.0005438466905616224,0.9999998807907104,0.0005224492633715272,1.0
8,Q,4,0.6419163652524091,0.23497051000595093,0.35808363474759086,0.9575925469398499,0.2891159653663635,0.5554201602935791,0.8269608020782471,0.3596080243587494,0.9321820735931396,0.30767524242401123,0.9513119459152222
8,Q,5,0.43567748748619556,0.08746673911809921,0.5643225125138045,0.9885041117668152,0.14722499251365662,0.2912769913673401,0.9527193903923035,0.18460002541542053,0.9808849692344666,0.15705516934394836,0.98663330078125
8,Q,6,0.27730736879181467,0.030058858916163445,0.7226926312081853,0.9970142841339111,0.07411881536245346,0.1485501229763031,0.9866372346878052,0.09330317378044128,0.9948928952217102,0.07916425913572311,0.9964984655380249
8,Q,7,0.16732576200215785,0.009726112708449364,0.8326742379978421,0.9992398023605347,0.037184350192546844,0.075055792927742,0.9964313507080078,0.04691348224878311,0.9986798763275146,0.03974413871765137,0.9991044402122498
8,Q,8,0.095724484586388,0.0029482729732990265,0.904275515413612,0.9998085498809814,0.01860877498984337,0.0376882441341877,0.9990814328193665,0.023505359888076782,0.9996652007102966,0.019897181540727615,0.9997739791870117
8,Q,9,0.0524438555678403,0.000849844072945416,0.9475561444321597,0.9999520778656006,0.009297596290707588,0.018857860937714577,0.9997681379318237,0.011749634519219398,0.9999160170555115,0.009943002834916115,0.9999433755874634
8,Q,10,0.02752432983673721,0.00022929871920496225,0.9724756701632628,0.9999880790710449,0.004644249565899372,0.009425063617527485,0.999941885471344,0.005870030261576176,0.9999790191650391,0.004966891370713711,0.9999858736991882
8,Q,11,0.014097222707890007,5.9725571190938354e-05,0.98590277729211,0.9999970197677612,0.0023217047564685345,0.004711650311946869,0.9999854564666748,0.002934864256531,0.9999947547912598,0.0024830379988998175,0.9999964833259583
8,Q,12,0.007146521979345944,1.5281491869245656e-05,0.992853478020654,0.9999992847442627,0.0011581692378968,0.00234774686396122,0.9999964237213135,0.0014629093930125237,0.9999986886978149,0.0012386083835735917,0.9999991655349731
8,V,4,0.5810216267903646,0.15622560679912567,0.41897837320963544,0.9742441773414612,0.22673478722572327,0.45448172092437744,0.8834018707275391,0.262830913066864,0.9650865793228149,0.23347342014312744,0.9726223349571228
8,V,5,0.37929217020670575,0.05443233251571655,0.6207078297932943,0.9933077096939087,0.11399828642606735,0.23805445432662964,0.9648646712303162,0.13276031613349915,0.9907335042953491,0.1174723207950592,0.9928576350212097
8,V,6,0.22745800018310547,0.017130455002188683,0.7725419998168945,0.9983128309249878,0.056822940707206726,0.12162332236766815,0.9897134304046631,0.06634551286697388,0.9976311922073364,0.05858031287789345,0.9981946349143982
8,V,7,0.12802918752034506,0.004997617565095425,0.8719708124796549,0.9995800256729126,0.02826196700334549,0.06134285032749176,0.997043251991272,0.0330381840467453,0.999406635761261,0.029142066836357117,0.9995501637458801
8,V,8,0.0686489741007487,0.00137063127476722,0.9313510258992513,0.9998958706855774,0.014060843735933304,0.03073381632566452,0.9992332458496094,0.016444947570562363,0.9998524188995361,0.014499872922897339,0.9998883008956909
8,V,9,0.03571923573811849,0.00036249481490813196,0.9642807642618815,0.9999741315841675,0.007006901316344738,0.0153649328276515,0.9997974634170532,0.008196597918868065,0.9999632835388184,0.007225926034152508,0.9999722242355347
8,V,10,0.01821104685465495,9.332396439276636e-05,0.9817889531453451,0.9999935626983643,0.0035008161794394255,0.007687736302614212,0.9999473094940186,0.004095360171049833,0.9999908804893494,0.0036102933809161186,0.999993085861206
8,V,11,0.009180704752604166,2.3719696400803514e-05,0.9908192952473959,0.9999983906745911,0.0017488922458142042,0.003840604331344366,0.9999865293502808,0.002046479843556881,0.9999977350234985,0.001803568098694086,0.9999983310699463
8,V,12,0.0045808156331380205,5.904931640543509e-06,0.9954191843668619,0.9999996423721313,0.0008760219207033515,0.001913280924782157,0.9999966621398926,0.001024708733893931,0.999999463558197,0.0009033973328769207,0.9999996423721313
9,FFN1,4,0.920808706993726,0.5783242583274841,0.07919129300627402,0.9214562177658081,0.39194852113723755,0.9864343404769897,0.11607286334037781,0.6148526668548584,0.7882770895957947,0.454224556684494,0.8909913301467896
9,FFN1,5,0.7817667396521434,0.3343084752559662,0.2182332603478566,0.9685465693473816,0.24779242277145386,0.759250283241272,0.6624555587768555,0.39653265476226807,0.9148656725883484,0.28958481550216675,0.9552552700042725
9,FFN1,6,0.5877319041347322,0.14873039722442627,0.4122680958652678,0.9900918006896973,0.13671641051769257,0.4390089809894562,0.8978147506713867,0.22147001326084137,0.9721131324768066,0.16098953783512115,0.9854331016540527
9,FFN1,7,0.4091622447652283,0.05689482018351555,0.5908377552347718,0.9972338080406189,0.0713801234960556,0.23232173919677734,0.9700523614883423,0.11629781126976013,0.9919008016586304,0.08435991406440735,0.9958335161209106
9,FFN1,8,0.27238582609471024,0.020118320360779762,0.7276141739052897,0.9992669820785522,0.03651721403002739,0.11960534751415253,0.9916256666183472,0.05967090651392937,0.9977969527244568,0.04323618859052658,0.9988796710968018
9,FFN1,9,0.17634374082155163,0.006797839421778917,0.8236562591784484,0.9998107552528381,0.01850154995918274,0.06082005426287651,0.9977731108665466,0.030282609164714813,0.9994232654571533,0.02192741632461548,0.9997084140777588
9,FFN1,10,0.11194678825017985,0.0022225959692150354,0.8880532117498201,0.9999517798423767,0.009322823956608772,0.030700378119945526,0.999426007270813,0.01527341641485691,0.9998520612716675,0.011055650189518929,0.9999253749847412
9,FFN1,11,0.07019797164081173,0.0007123163668438792,0.9298020283591882,0.999987781047821,0.0046844216994941235,0.01544029451906681,0.9998539686203003,0.007678818888962269,0.9999624490737915,0.0055570704862475395,0.9999810457229614
9,FFN1,12,0.043637080116448644,0.00022506911773234606,0.9563629198835514,0.9999969005584717,0.0023485622368752956,0.007746769115328789,0.9999632239341736,0.003848790656775236,0.9999905228614807,0.0027865932788699865,0.999995231628418
9,FFN2,4,0.19873292192202585,0.03145749866962433,0.8012670780779741,0.9897364377975464,0.1433892846107483,0.18656541407108307,0.9828211069107056,0.15026426315307617,0.9887299537658691,0.14472880959510803,0.9895398020744324
9,FFN2,5,0.0936153786931134,0.0069378516636788845,0.9063846213068866,0.9977360963821411,0.06691030412912369,0.08713888376951218,0.9961643815040588,0.07012267410755157,0.9975109100341797,0.06753537058830261,0.9976919889450073
9,FFN2,6,0.045479620024905056,0.001630579587072134,0.954520379975095,0.9994686841964722,0.032370425760746,0.042154595255851746,0.9990977048873901,0.03392218053340912,0.9994156956672668,0.03267281502485275,0.9994582533836365
9,FFN2,7,0.02257205760511719,0.00040027647628448904,0.9774279423948828,0.9998712539672852,0.015932723879814148,0.020751450210809708,0.9997812509536743,0.01669810339808464,0.9998584389686584,0.016081558540463448,0.9998687505722046
9,FFN2,8,0.011170544513719322,9.805953595787287e-05,0.9888294554862807,0.9999683499336243,0.007902131415903568,0.010291459038853645,0.9999462366104126,0.008281435817480087,0.9999651908874512,0.007975954562425613,0.9999676942825317
9,FFN2,9,0.005562669827239742,2.440643947920762e-05,0.9944373301727603,0.9999921321868896,0.003936552442610264,0.005126932170242071,0.9999866485595703,0.004125809296965599,0.9999912977218628,0.003973331302404404,0.9999920129776001
9,FFN2,10,0.0027864557765806337,6.0924639910808764e-06,0.9972135442234193,0.9999980926513672,0.0019640885293483734,0.002557894680649042,0.9999966621398926,0.0020584692247211933,0.9999978542327881,0.0019824414048343897,0.9999979734420776
