layer_idx,sublayer,extra_bit,from_bits,to_bits,marginal_gain
6,O,1,4,5,0.13182653339697997
6,O,2,5,6,0.060706502416826055
6,O,3,6,7,0.02919896467690282
6,O,4,7,8,0.014141211402364838
6,O,5,8,9,0.0070795125359409345
6,O,6,9,10,0.003489548417353883
6,O,7,10,11,0.0017330119721332602
6,O,8,11,12,0.0008564674796787507
6,Q,1,4,5,0.21362025974733595
6,Q,2,5,6,0.16730725883790343
6,Q,3,6,7,0.11792330234507656
6,Q,4,7,8,0.07686493780558193
6,Q,5,8,9,0.04728602499383404
6,Q,6,9,10,0.026862232799418767
6,Q,7,10,11,0.014566487682090639
6,Q,8,11,12,0.007587802918658396
6,V,1,4,5,0.20794625323265792
6,V,2,5,6,0.15794393971562387
6,V,3,6,7,0.1061709927441552
6,V,4,7,8,0.06375767503981478
6,V,5,8,9,0.035585693202156106
6,V,6,9,10,0.019103622572438334
6,V,7,10,11,0.009871871934919911
6,V,8,11,12,0.0049719554679677445
7,FFN1,1,4,5,0.12577678101758483
7,FFN1,2,5,6,0.19152014255312255
7,FFN1,3,6,7,0.19265065804054526
7,FFN1,4,7,8,0.15335997433815052
7,FFN1,5,8,9,0.10934627808917849
7,FFN1,6,9,10,0.07385231422367688
7,FFN1,7,10,11,0.047631593911170944
7,FFN1,8,11,12,0.030328724873665218
7,FFN2,1,4,5,0.11041110823226867
7,FFN2,2,5,6,0.05046466037200435
7,FFN2,3,6,7,0.02408533769297361
7,FFN2,4,7,8,0.011780649802346693
7,FFN2,5,8,9,0.005772829055715185
7,FFN2,6,9,10,0.002880084468909994
7,FFN2,7,10,11,0.0014098572351028923
7,FFN2,8,11,12,0.0007183033932646862
7,K,1,4,5,0.183776178621313
7,K,2,5,6,0.17628300067182778
7,K,3,6,7,0.1479929868598291
7,K,4,7,8,0.10992604790714919
7,K,5,8,9,0.07273552210566904
7,K,6,9,10,0.044033815395036875
7,K,7,10,11,0.02454282121186169
7,K,8,11,12,0.0131621039651886
7,O,1,4,5,0.11947092399252107
7,O,2,5,6,0.054665720143005365
7,O,3,6,7,0.026051860101038535
7,O,4,7,8,0.012704493375968276
7,O,5,8,9,0.006309227798920628
7,O,6,9,10,0.0030861463360240204
7,O,7,10,11,0.001550651659402873
7,O,8,11,12,0.0007795209038037583
7,Q,1,4,5,0.19493496303398383
7,Q,2,5,6,0.15830312005256542
7,Q,3,6,7,0.11975316769644692
7,Q,4,7,8,0.085120192293335
7,Q,5,8,9,0.05584486930042787
7,Q,6,9,10,0.03389457829636287
7,Q,7,10,11,0.019048151768021656
7,Q,8,11,12,0.009992181302651356
7,V,1,4,5,0.19747592048507706
7,V,2,5,6,0.16884527153323325
7,V,3,6,7,0.12422555511397432
7,V,4,7,8,0.08003239062883914
7,V,5,8,9,0.047193246964477145
7,V,6,9,10,0.025939626697623574
7,V,7,10,11,0.013892234534499823
7,V,8,11,12,0.007159475769010124
8,FFN1,1,4,5,0.13350139935691363
8,FFN1,2,5,6,0.1968882120008668
8,FFN1,3,6,7,0.18991118594558637
8,FFN1,4,7,8,0.14921328058719513
8,FFN1,5,8,9,0.10654314321610667
8,FFN1,6,9,10,0.07242716678897734
8,FFN1,7,10,11,0.047672573047882846
8,FFN1,8,11,12,0.030615564891232454
8,FFN2,1,4,5,0.10974986915435696
8,FFN2,2,5,6,0.05013965227958413
8,FFN2,3,6,7,0.02394774747118309
8,FFN2,4,7,8,0.011764408061912448
8,FFN2,5,8,9,0.005814975354532438
8,FFN2,6,9,10,0.0028431972722898174
8,FFN2,7,10,11,0.0014263525026336887
8,FFN2,8,11,12,0.0007186270830825351
8,K,1,4,5,0.19817117280971286
8,K,2,5,6,0.17919685768435323
8,K,3,6,7,0.14059290144896566
8,K,4,7,8,0.09698579030787902
8,K,5,8,9,0.060030932885103735
8,K,6,9,10,0.0344140677191234
8,K,7,10,11,0.01846494360440708
8,K,8,11,12,0.009639054938803137
8,O,1,4,5,0.11269196324610431
8,O,2,5,6,0.05139317628323413
8,O,3,6,7,0.02461608572729246
8,O,4,7,8,0.012004533233943798
8,O,5,8,9,0.0059010581338282625
8,O,6,9,10,0.002917162370103507
8,O,7,10,11,0.0014624228810882567
8,O,8,11,12,0.0007514355641294061
8,Q,1,4,5,0.21924504459673105
8,Q,2,5,6,0.1651868241804476
8,Q,3,6,7,0.1135920774400164
8,Q,4,7,8,0.07357066452261196
8,Q,5,8,9,0.044350704830994465
8,Q,6,9,10,0.025498704628054192
8,Q,7,10,11,0.013728966462542989
8,Q,8,11,12,0.007104381243234292
8,V,1,4,5,0.2120137204229831
8,V,2,5,6,0.15732486737892032
8,V,3,6,7,0.10231841324828564
8,V,4,7,8,0.06089558894163931
8,V,5,8,9,0.033711479421763224
8,V,6,9,10,0.017907967530190944
8,V,7,10,11,0.00923249641031362
8,V,8,11,12,0.004701779347751651
9,FFN1,1,4,5,0.15566999325381337
9,FFN1,2,5,6,0.20848038890600695
9,FFN1,3,6,7,0.1874991276466466
9,FFN1,4,7,8,0.14176200928980398
9,FFN1,5,8,9,0.09884203874823097
9,FFN1,6,9,10,0.06602237145677835
9,FFN1,7,10,11,0.04271429271870676
9,FFN1,8,11,12,0.027144176489379702
9,FFN2,1,4,5,0.10921781083385602
9,FFN2,2,5,6,0.04971246300103734
9,FFN2,3,6,7,0.023593141388566902
9,FFN2,4,7,8,0.011725710240022532
9,FFN2,5,8,9,0.0057637410676333175
9,FFN2,6,9,10,0.0028525629294223966
9,FFN2,7,10,11,0.0014301256088812967
9,FFN2,8,11,12,0.00070268475132021
9,K,1,4,5,0.18417157921302385
9,K,2,5,6,0.16730054001108502
9,K,3,6,7,0.13591324195947146
9,K,4,7,8,0.0988302037378842
