layer_idx,sublayer,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,x_absmax,x_p99,d_absmax,d_p99,BL_mean,BL_p99,BL_hit_ratio,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs
4,V,1.0,0.0,0.0,0.0,0.0003887025581207126,1.0,0.0,0.0,13.226911163330078,1.7607865571975707,0.002703558560460806,6.00850755290594e-05,1.0,1.0,0.0,0.074609375,0.08671875,0.09202068727463483,1.0,0.0,0.0,0.03977240771055222,0.0,0.0009039133496116847,0.7696649342775345,0.9936760796440971,0.0,0.0
5,FFN1,1.0,0.0,0.0,0.0,0.00031138804042711853,1.0,0.0,0.0,93.29222412109375,2.1499510288238524,0.004222123650833964,2.7997384677291848e-05,1.0,1.0,0.0,0.116796875,0.0953125,0.03375650664092973,1.0,0.0,0.0,0.004973066598176956,0.0,0.0005372829327825457,0.6841465771198273,0.994116465250651,0.0,0.0
5,FFN2,1.0,0.0,0.0,0.0,0.00026225651381537316,1.0,0.0,0.0,9.6184476852417,0.6209959864616394,0.004638660699129105,0.0001791643619071692,1.0,1.0,0.0,0.120703125,0.068359375,0.0527184531558305,1.0,0.0,0.0,-0.010117598250508309,0.0,0.0005842474158271216,0.7411588132381439,0.9953389485677084,0.0,0.0
5,K,1.0,0.0,0.0,0.0,0.00021132879192009568,1.0,0.0,0.0,14.673084831237793,1.773985505104065,0.0015009735245257616,3.669320467452053e-05,1.0,1.0,0.0,0.12109375,0.071484375,0.06255936191882938,1.0,0.0,0.0,0.0036563318222761153,0.0,0.0006704478582832962,0.6081303030252456,0.9938771565755209,0.0,0.0
5,O,1.0,0.0,0.0,0.0,0.00046713314368389546,1.0,0.0,0.0,3.6724016189575197,0.8907221913337707,0.009143220726400614,0.000223824821296148,1.0,1.0,0.0,0.06640625,0.079296875,0.08842181111685932,1.0,0.0,0.0,-0.010119808278977871,0.0,0.0008516525675076991,0.7696649104356765,0.9936730278862846,0.0,0.0
5,Q,1.0,0.0,0.0,0.0,0.00021045211178716272,1.0,0.0,0.0,14.673084831237793,1.773985505104065,0.001797906798310578,2.7051800498156808e-05,1.0,1.0,0.0,0.129296875,0.05859375,0.06687329255510122,1.0,0.0,0.0,0.009222760214470327,0.0,0.0006805327386246063,0.7316567808389663,0.9938100179036459,0.0,0.0
5,V,1.0,0.0,0.0,0.0,0.0004171535838395357,1.0,0.0,0.0,14.673084831237793,1.773985505104065,0.002678891085088253,6.89415421220474e-05,1.0,1.0,0.0,0.07421875,0.086328125,0.08369852036703378,1.0,0.0,0.0,-0.0037961378693580627,0.0,0.0007878248987253755,0.8076730668544769,0.9937964545355904,0.0,0.0
6,FFN1,1.0,0.0,0.0,0.0,0.0003928724559955299,1.0,0.0,0.0,92.17290344238282,2.1438279151916504,0.0040221989154815676,2.941208003903739e-05,1.0,1.0,0.0,0.1109375,0.095703125,0.03623944902792573,1.0,0.0,0.0,-0.05355689856223762,0.0,0.0005384147298173048,0.7506608545780182,0.99410400390625,0.0,0.0
6,FFN2,1.0,0.0,0.0,0.0,0.0003037298272829503,1.0,0.0,0.0,7.616647529602051,0.605046808719635,0.005038899276405573,0.00018814347859006376,1.0,1.0,0.0,0.112890625,0.066796875,0.06271114214323462,1.0,0.0,0.0,-0.04465018957853317,0.0,0.0006033820856828243,0.712652713060379,0.9952427334255642,0.0,0.0
6,K,1.0,0.0,0.0,0.0,0.0002229611069196835,1.0,0.0,0.0,15.598473167419433,1.8199868679046631,0.0015297968406230212,3.6325441033113745e-05,1.0,1.0,0.0,0.123046875,0.055859375,0.05894503688905388,1.0,0.0,0.0,-0.0011345019564032554,0.0,0.0006824819836765527,0.7411588221788407,0.9938340928819445,0.0,0.0
6,O,1.0,0.0,0.0,0.0,0.0005369214457459747,1.0,0.0,0.0,3.5652974128723143,0.8641485691070556,0.007962087541818619,0.000222477555507794,1.0,1.0,0.0,0.058984375,0.080078125,0.10662375725805759,1.0,0.0,0.0,-0.015924640372395514,0.0,0.0011949395353440194,0.8361791878938675,0.993458726671007,0.0,0.0
6,Q,1.0,0.0,0.0,0.0,0.0002289926924277097,1.0,0.0,0.0,15.598473167419433,1.8199868679046631,0.0023073056945577264,2.581663939054124e-05,1.0,1.0,0.0,0.1296875,0.06484375,0.0548684389796108,1.0,0.0,0.0,-0.0027524742996320128,0.0,0.0006612007040530443,0.7316567838191986,0.9938632541232639,0.0,0.0
6,V,1.0,0.0,0.0,0.0,0.0004983885504771024,1.0,0.0,0.0,15.598473167419433,1.8199868679046631,0.0028333055786788465,6.635684840148315e-05,1.0,1.0,0.0,0.075390625,0.08828125,0.07378902430646121,1.0,0.0,0.0,-0.016846076119691133,0.0,0.0008374758093850687,0.7981710374355316,0.9937245686848959,0.0,0.0
7,FFN1,1.0,0.0,0.0,0.0,0.00037458601873368024,1.0,0.0,0.0,91.69246215820313,2.1349196910858153,0.004779232665896416,2.7773224792326802e-05,1.0,1.0,0.0,0.117578125,0.093359375,0.03546696273842827,1.0,0.0,0.0,0.005566925299353898,0.0,0.0005390874081058428,0.7126527011394501,0.994090355767144,0.0,0.0
7,FFN2,1.0,0.0,0.0,0.0,0.0003464917186647654,1.0,0.0,0.0,7.858664035797119,0.6177735805511475,0.005890487506985664,0.0001851739565609023,1.0,1.0,0.0,0.11484375,0.053515625,0.07267920842859894,1.0,0.0,0.0,0.012039892608299851,0.0,0.0007186166942119599,0.7696649372577667,0.9951722039116753,0.0,0.0
7,K,1.0,0.0,0.0,0.0,0.00019336897239554673,1.0,0.0,0.0,16.179322052001954,1.8669913053512572,0.001869134441949427,3.086384967900813e-05,1.0,1.0,0.0,0.13046875,0.071875,0.047039408376440404,1.0,0.0,0.0,-0.03542773809749633,0.0,0.000609632782288827,0.5701221615076065,0.9939405653211806,0.0,0.0
7,O,1.0,0.0,0.0,0.0,0.0005272807611618191,1.0,0.0,0.0,3.252753400802612,0.868613600730896,0.006112850829958915,0.00021648960828315466,1.0,1.0,0.0,0.068359375,0.08046875,0.10580890839919448,1.0,0.0,0.0,0.011718398332595826,0.0,0.0011181112029589712,0.8266771137714386,0.9935262044270834,0.0,0.0
7,Q,1.0,0.0,0.0,0.0,0.00021833538194186984,1.0,0.0,0.0,16.179322052001954,1.8669913053512572,0.002259594714269042,1.932091254275292e-05,1.0,1.0,0.0,0.1484375,0.057421875,0.055989510624203834,1.0,0.0,0.0,-0.009814885072410106,0.0,0.0006496660207631066,0.5891262203454971,0.9938079833984375,0.0,0.0
7,V,1.0,0.0,0.0,0.0,0.0006063463515602052,1.0,0.0,0.0,16.179322052001954,1.8669913053512572,0.0028636070434004068,6.938898150110617e-05,1.0,1.0,0.0,0.07265625,0.092578125,0.0671439623925835,1.0,0.0,0.0,-0.036617855168879034,-502.12075595855714,0.0008089128969004378,0.7601628839969635,0.9937811957465279,0.0,0.0
8,FFN1,1.0,0.0,0.0,0.0,0.00037819553399458526,1.0,0.0,0.0,87.84958038330078,2.0944602489471436,0.005421148147433996,2.2576707124244422e-05,1.0,1.0,0.0,0.1203125,0.088671875,0.036093407589942214,1.0,0.0,0.0,-0.0029635224491357803,0.0,0.0005294294416671619,0.7126527011394501,0.994140370686849,0.0,0.0
8,FFN2,1.0,0.0,0.0,0.0,0.0003295043075922877,1.0,0.0,0.0,19.581144905090333,0.5980136513710022,0.005696964543312788,0.00015820777916815133,1.0,1.0,0.0,0.124609375,0.06171875,0.0868459239951335,1.0,0.0,0.0,-0.011271052062511444,0.0,0.0009558397345244884,0.845681220293045,0.9950976901584202,0.0,0.0
8,K,1.0,0.0,0.0,0.0,0.00024104076728690416,1.0,0.0,0.0,21.58436698913574,1.8495555162429809,0.0020102156326174737,4.0712721238378434e-05,1.0,1.0,0.0,0.123828125,0.0640625,0.05857468830654398,1.0,0.0,0.0,-0.046295643970370295,0.0,0.0006763280485756695,0.6936486184597015,0.9938737657335069,0.0,0.0
8,O,1.0,0.0,0.0,0.0,0.0005049233324825764,1.0,0.0,0.0,3.367981433868408,0.8642700552940369,0.00716434782370925,0.00020749207760673016,1.0,1.0,0.0,0.078515625,0.0796875,0.10528965445701033,1.0,0.0,0.0,-0.030704565765336155,0.0,0.0009195721795549616,0.6746445685625077,0.993634033203125,0.0,0.0
8,Q,1.0,0.0,0.0,0.0,0.00028773177764378487,1.0,0.0,0.0,21.58436698913574,1.8495555162429809,0.0035075476160272958,2.355024807911832e-05,1.0,1.0,0.0,0.120703125,0.06484375,0.05424763490445912,1.0,0.0,0.0,-0.024664958566427232,0.0,0.000620797002920881,0.6271343499422073,0.9938897026909721,0.0,0.0
